County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost
Suffolk City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Surry County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Sussex County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Tazewell County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Virginia Beach City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Warren County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Washington County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Waynesboro City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Westmoreland County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Williamsburg City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Winchester City,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Wise County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
Wythe County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
York County,125.06,178.65,178.65,285.84,125.06,178.65,1071.91
